half-giant racial class,CP,148,Human-giant hybrids half-giants were bred by cruel sorcerer-kings who used them as warriors and laborers in a dry land.
thri-kreen racial class,CP,149,Fierce hunters and faultless trackers the thri-kreen are a race of insectfolk sometimes known as mantis warriors.
erudite (variant psion),CP,153,As an alternative to the standard psion class the erudite is a psionic character who follows a scholarly and self-reflective road to power instead of a merely self-conscious path like the psion follows.
beguiler,PH2,6,If you delight in manipulating others either to their disadvantage or for their own good then the beguiler is the class for you.
dragon shaman,PH2,11,If you gaze at dragons with awe and aspire to share their power and majesty then the dragon shaman is the class for you.
duskblade,PH2,19,If you find you can't choose between being an arcane spellcaster who zaps your enemies with powerful spells and a nimble powerful front-line melee character who lays them low with a sword the duskblade is the perfect class for you.
knight,PH2,24,The knight class is a great choice if you want to play a tough durable melee combatant whose strong personality allows you to manipulate your foes.
crusader,ToB,8,Devoted knight divine agent instrument of vengeance peerless fighting machine -- the crusader is a warrior dedicated to good evil law chaos or some other cause.
swordsage,ToB,15,A master of martial maneuvers the sword sage is a physical adept -- a blade wizard whose knowledge of the Sublime Way lets him unlock potent abilities many of which are overtly supernatural or magical in nature.
warblade,ToB,20,The warblade was born for conflict. Swift strong enduring and utterly confident in his martial skills he seeks to test himself against worthy foes.
dragonfire adept,DM,24,Whether they are bold champions defending the weak and downtrodden or merciless raiders seeking might and riches dragonfire adepts are imposing figures who command the magic of dragonkind.
,,,
